_id,resale_price,year,month,timeseries_month,region,town,rooms,avg_storey,floor_area_sqm,remaining_lease,dist_to_marina_bay,latitude,longitude,nearest_station_0,dist_to_station_0
117554,620000.0,2022,12,2022-12-01,West,Bukit Panjang,5.0,5.0,113.0,93.08333333333333,14.73,1.38101722786729,103.769595216738,Bangkit LRT,0.36
117553,540000.0,2022,12,2022-12-01,West,Bukit Panjang,5.0,2.0,122.0,65.25,14.95,1.38185025770492,103.767573058956,Fajar LRT,0.48
117552,625000.0,2022,12,2022-12-01,West,Bukit Panjang,5.0,20.0,112.0,78.5,15.58,1.38436672930183,103.762046231912,Bukit Panjang MRT,0.6
117551,550000.0,2022,12,2022-12-01,West,Bukit Panjang,5.0,2.0,127.0,64.66666666666667,14.37,1.37818350557282,103.771291362954,Bangkit LRT,0.25
117550,620000.0,2022,12,2022-12-01,West,Bukit Panjang,5.0,2.0,120.0,75.66666666666667,15.25,1.38159642060888,103.763496336507,Bukit Panjang MRT,0.36
117549,490000.0,2022,12,2022-12-01,West,Bukit Panjang,4.0,2.0,92.0,92.0,16.05,1.38743454593269,103.759118571415,Bukit Panjang MRT,0.97
117548,585000.0,2022,12,2022-12-01,West,Bukit Panjang,4.0,26.0,93.0,90.08333333333333,15.92,1.38516970673292,103.758529145929,Bukit Panjang MRT,0.76
117547,550000.0,2022,12,2022-12-01,West,Bukit Panjang,4.0,23.0,93.0,80.91666666666667,15.88,1.38553502172905,103.759378313644,Bukit Panjang MRT,0.76
117546,518000.0,2022,12,2022-12-01,West,Bukit Panjang,4.0,26.0,90.0,80.91666666666667,15.9,1.38662658656793,103.760257710151,Bukit Panjang MRT,0.85
117545,525000.0,2022,12,2022-12-01,West,Bukit Panjang,4.0,5.0,93.0,90.16666666666667,15.84,1.38473473131824,103.759217747785,Bukit Panjang MRT,0.68
117544,530000.0,2022,12,2022-12-01,West,Bukit Panjang,4.0,5.0,93.0,92.0,16.14,1.38656225824527,103.757208072494,Bukit Panjang MRT,0.96
117543,550000.0,2022,12,2022-12-01,West,Bukit Panjang,4.0,17.0,92.0,92.0,15.59,1.38959118621,103.76744702208,Fajar LRT,0.67
117542,540000.0,2022,12,2022-12-01,West,Bukit Panjang,4.0,8.0,92.0,91.66666666666667,15.29,1.38852629003223,103.77035293606,Fajar LRT,0.44
117541,515000.0,2022,12,2022-12-01,West,Bukit Panjang,4.0,5.0,92.0,91.08333333333333,15.29,1.38917306201936,103.771106197699,Fajar LRT,0.51
117540,462000.0,2022,12,2022-12-01,West,Bukit Panjang,4.0,8.0,90.0,78.41666666666667,14.91,1.38698243415701,103.773788455756,Fajar LRT,0.42
117539,520000.0,2022,12,2022-12-01,West,Bukit Panjang,4.0,14.0,93.0,89.0,15.23,1.38817649588077,103.770691341962,Fajar LRT,0.4
117538,422000.0,2022,12,2022-12-01,West,Bukit Panjang,4.0,2.0,104.0,63.583333333333336,13.94,1.37490882252027,103.773547827473,Bangkit LRT,0.57
117537,525000.0,2022,12,2022-12-01,West,Bukit Panjang,4.0,5.0,100.0,74.75,14.82,1.37768707307101,103.765102401589,Bukit Panjang MRT,0.42
117536,460000.0,2022,12,2022-12-01,West,Bukit Panjang,4.0,5.0,107.0,64.58333333333333,14.32,1.37599511163058,103.769766187776,Bangkit LRT,0.55
117535,660000.0,2022,12,2022-12-01,West,Bukit Panjang,4.0,26.0,94.0,79.58333333333333,15.11,1.37925788735519,103.762997101416,Bukit Panjang MRT,0.17
117534,526000.0,2022,12,2022-12-01,West,Bukit Panjang,4.0,8.0,100.0,75.5,15.42,1.38442024544603,103.764216360638,Fajar LRT,0.74
117533,480000.0,2022,12,2022-12-01,West,Bukit Panjang,4.0,8.0,102.0,74.41666666666667,15.33,1.3870334545891,103.768120654409,Fajar LRT,0.41
117532,500000.0,2022,12,2022-12-01,West,Bukit Panjang,4.0,17.0,102.0,74.41666666666667,15.09,1.38288226683648,103.76684712949,Fajar LRT,0.49
117531,470000.0,2022,12,2022-12-01,West,Bukit Panjang,4.0,8.0,103.0,75.0,15.52,1.38803622153251,103.766707751932,Fajar LRT,0.6
117530,485000.0,2022,12,2022-12-01,West,Bukit Panjang,4.0,5.0,102.0,75.08333333333333,15.52,1.38803622153251,103.766707751932,Fajar LRT,0.6
117529,470000.0,2022,12,2022-12-01,West,Bukit Panjang,4.0,2.0,101.0,74.5,15.33,1.3870334545891,103.768120654409,Fajar LRT,0.41
117528,538000.0,2022,12,2022-12-01,West,Bukit Panjang,4.0,8.0,93.0,93.08333333333333,14.63,1.38143384735951,103.771366304235,Bangkit LRT,0.21
117527,418000.0,2022,12,2022-12-01,West,Bukit Panjang,4.0,8.0,84.0,65.16666666666667,14.86,1.38144471081245,103.768305890206,Fajar LRT,0.45
117526,465000.0,2022,12,2022-12-01,West,Bukit Panjang,4.0,5.0,104.0,65.0,14.79,1.38031226320182,103.768073595,Bangkit LRT,0.51
117525,460000.0,2022,12,2022-12-01,West,Bukit Panjang,4.0,2.0,104.0,66.08333333333333,14.78,1.38225913645163,103.770268856173,Fajar LRT,0.26
117524,468000.0,2022,12,2022-12-01,West,Bukit Panjang,4.0,11.0,103.0,65.08333333333333,14.79,1.38031226320182,103.768073595,Bangkit LRT,0.51
117523,470000.0,2022,12,2022-12-01,West,Bukit Panjang,4.0,5.0,104.0,65.33333333333333,15.08,1.38394433275237,103.768093178816,Fajar LRT,0.32
117522,470000.0,2022,12,2022-12-01,West,Bukit Panjang,4.0,8.0,90.0,78.5,15.58,1.38436672930183,103.762046231912,Bukit Panjang MRT,0.6
117521,475000.0,2022,12,2022-12-01,West,Bukit Panjang,4.0,2.0,101.0,73.58333333333333,14.78,1.38417096583004,103.772386971275,Fajar LRT,0.17
117520,475000.0,2022,12,2022-12-01,West,Bukit Panjang,4.0,5.0,90.0,78.16666666666667,15.47,1.38285734125021,103.762010135941,Bukit Panjang MRT,0.43
117519,508000.0,2022,12,2022-12-01,West,Bukit Panjang,4.0,11.0,103.0,65.08333333333333,14.33,1.38030045457366,103.774174995217,Bangkit LRT,0.17
117518,478000.0,2022,12,2022-12-01,West,Bukit Panjang,4.0,8.0,108.0,65.0,13.88,1.37622287943252,103.775700265583,Bangkit LRT,0.54
117517,465000.0,2022,12,2022-12-01,West,Bukit Panjang,4.0,11.0,108.0,65.0,14.01,1.37757321095782,103.775352835173,Bangkit LRT,0.4
117516,478000.0,2022,12,2022-12-01,West,Bukit Panjang,4.0,11.0,106.0,65.08333333333333,14.08,1.37757317337748,103.774462082623,Bangkit LRT,0.34
117515,452000.0,2022,12,2022-12-01,West,Bukit Panjang,4.0,2.0,109.0,65.0,13.92,1.37606226195911,103.775010615964,Bangkit LRT,0.51
117514,388000.0,2022,12,2022-12-01,West,Bukit Panjang,3.0,5.0,73.0,64.75,14.63,1.37704616042499,103.766883474367,Bukit Panjang MRT,0.63
117513,375000.0,2022,12,2022-12-01,West,Bukit Panjang,3.0,8.0,73.0,65.25,14.11,1.37495963279539,103.771466478176,Bangkit LRT,0.58
117512,353000.0,2022,12,2022-12-01,West,Bukit Panjang,3.0,5.0,64.0,65.58333333333333,14.09,1.37602906861135,103.772784291707,Bangkit LRT,0.44
117511,395000.0,2022,12,2022-12-01,West,Bukit Panjang,3.0,5.0,73.0,65.08333333333333,14.11,1.37427380230521,103.770688640795,Bangkit LRT,0.67
117510,290000.0,2022,12,2022-12-01,West,Bukit Panjang,2.0,8.0,47.0,91.08333333333333,15.29,1.38952670931463,103.771409031633,Fajar LRT,0.55
