_id,town,flat_type,flat_model,floor_area_sqm,street_name,resale_price,month,remaining_lease,lease_commence_date,storey_range,block,rooms,avg_storey,timeseries_month,year,original_street_name,region,position
143819,Bedok,3 Room,Improved,59.0,Bedok North Road,325000.0,4,53.833333333333336,1978,04 To 06,74,3.0,5.0,2023-04-01,2023,Bedok Nth Rd,East,"1.32751177120151,103.942220384041 460074"
143820,Bedok,3 Room,New Generation,82.0,Bedok North Road,415000.0,4,53.333333333333336,1977,04 To 06,108,3.0,5.0,2023-04-01,2023,Bedok Nth Rd,East,"1.3327400821369,103.936223521869 460108"
143821,Bedok,3 Room,Improved,59.0,Bedok North Road,338000.0,4,53.75,1978,01 To 03,76,3.0,2.0,2023-04-01,2023,Bedok Nth Rd,East,"1.3282966654865,103.942067527916 460076"
143822,Bedok,3 Room,New Generation,67.0,Bedok North Road,388000.0,4,54.75,1979,04 To 06,426,3.0,5.0,2023-04-01,2023,Bedok Nth Rd,East,"1.32980063275837,103.928985674792 460426"
143834,Bedok,3 Room,New Generation,68.0,Bedok North Street 1,385000.0,4,54.916666666666664,1979,10 To 12,420,3.0,11.0,2023-04-01,2023,Bedok Nth St 1,East,"1.32774467875638,103.928874390405 460420"
143835,Bedok,3 Room,New Generation,82.0,Bedok North Street 1,410000.0,4,55.333333333333336,1979,01 To 03,205,3.0,2.0,2023-04-01,2023,Bedok Nth St 1,East,"1.32592675434667,103.930808082635 460205"
143836,Bedok,3 Room,New Generation,68.0,Bedok North Street 1,410000.0,4,55.833333333333336,1980,04 To 06,214,3.0,5.0,2023-04-01,2023,Bedok Nth St 1,East,"1.32587565122354,103.932493035074 460214"
143837,Bedok,3 Room,New Generation,68.0,Bedok North Street 1,407000.0,4,54.75,1979,10 To 12,419,3.0,11.0,2023-04-01,2023,Bedok Nth St 1,East,"1.32696621417456,103.928135771625 460419"
143843,Bedok,3 Room,New Generation,67.0,Bedok North Street 2,355000.0,4,54.083333333333336,1978,01 To 03,138,3.0,2.0,2023-04-01,2023,Bedok Nth St 2,East,"1.33001011188999,103.936343483972 460138"
143844,Bedok,3 Room,New Generation,67.0,Bedok North Street 2,330000.0,4,54.083333333333336,1978,04 To 06,128,3.0,5.0,2023-04-01,2023,Bedok Nth St 2,East,"1.327740236451,103.939005696963 460128"
143878,Bedok,3 Room,New Generation,68.0,Bedok North Street 3,368000.0,4,56.166666666666664,1980,10 To 12,546,3.0,11.0,2023-04-01,2023,Bedok Nth St 3,East,"1.33082005919243,103.925595840288 460546"
143879,Bedok,3 Room,Improved,59.0,Bedok North Street 3,313000.0,4,54.083333333333336,1978,01 To 03,502,3.0,2.0,2023-04-01,2023,Bedok Nth St 3,East,"1.331245062192,103.931244293846 460502"
143880,Bedok,3 Room,Improved,59.0,Bedok North Street 3,308000.0,4,54.0,1978,10 To 12,504,3.0,11.0,2023-04-01,2023,Bedok Nth St 3,East,"1.33188000305479,103.932389359044 460504"
143881,Bedok,3 Room,New Generation,67.0,Bedok North Street 3,340000.0,4,55.25,1979,04 To 06,526,3.0,5.0,2023-04-01,2023,Bedok Nth St 3,East,"1.33421551878132,103.92912981542 460526"
143882,Bedok,3 Room,New Generation,68.0,Bedok North Street 3,370000.0,4,55.333333333333336,1979,10 To 12,530,3.0,11.0,2023-04-01,2023,Bedok Nth St 3,East,"1.33371332018833,103.927020293564 460530"
143883,Bedok,3 Room,Improved,59.0,Bedok North Street 3,352000.0,4,54.0,1978,13 To 15,501,3.0,14.0,2023-04-01,2023,Bedok Nth St 3,East,"1.33164071248973,103.931167665142 460501"
143884,Bedok,3 Room,New Generation,68.0,Bedok North Street 3,375000.0,4,56.083333333333336,1980,04 To 06,546,3.0,5.0,2023-04-01,2023,Bedok Nth St 3,East,"1.33082005919243,103.925595840288 460546"
143920,Bedok,3 Room,New Generation,67.0,Bedok Reservoir Road,383000.0,4,62.333333333333336,1986,04 To 06,740,3.0,5.0,2023-04-01,2023,Bedok Reservoir Rd,East,"1.3380258563727,103.922835001967 470740"
143921,Bedok,3 Room,New Generation,68.0,Bedok Reservoir Road,350000.0,4,58.166666666666664,1982,01 To 03,616,3.0,2.0,2023-04-01,2023,Bedok Reservoir Rd,East,"1.33182713238417,103.914991045591 470616"
143922,Bedok,3 Room,New Generation,67.0,Bedok Reservoir Road,406800.0,4,57.333333333333336,1981,04 To 06,614,3.0,5.0,2023-04-01,2023,Bedok Reservoir Rd,East,"1.332409040218,103.916788909074 470614"
143923,Bedok,3 Room,New Generation,70.0,Bedok Reservoir Road,360000.0,4,61.416666666666664,1985,01 To 03,108,3.0,2.0,2023-04-01,2023,Bedok Reservoir Rd,East,"1.33023193004172,103.909386972458 470108"
143924,Bedok,3 Room,New Generation,68.0,Bedok Reservoir Road,365000.0,4,57.333333333333336,1981,04 To 06,709,3.0,5.0,2023-04-01,2023,Bedok Reservoir Rd,East,"1.33541606502637,103.922350075379 470709"
143925,Bedok,3 Room,New Generation,67.0,Bedok Reservoir Road,380000.0,4,58.25,1982,01 To 03,608,3.0,2.0,2023-04-01,2023,Bedok Reservoir Rd,East,"1.33184129947186,103.913196235939 470608"
143926,Bedok,3 Room,New Generation,68.0,Bedok Reservoir Road,377000.0,4,57.25,1981,10 To 12,704,3.0,11.0,2023-04-01,2023,Bedok Reservoir Rd,East,"1.33635490577951,103.920203566512 470704"
143938,Bedok,3 Room,Improved,59.0,Bedok South Avenue 1,335000.0,4,51.833333333333336,1976,04 To 06,1,3.0,5.0,2023-04-01,2023,Bedok Sth Ave 1,East,"1.32228550455303,103.932474096336 469335"
143942,Bedok,3 Room,New Generation,73.0,Bedok South Avenue 2,350000.0,4,54.0,1978,01 To 03,33,3.0,2.0,2023-04-01,2023,Bedok Sth Ave 2,East,"1.32283703302242,103.939124525951 460033"
143943,Bedok,3 Room,New Generation,88.0,Bedok South Avenue 2,446000.0,4,54.0,1978,04 To 06,33,3.0,5.0,2023-04-01,2023,Bedok Sth Ave 2,East,"1.32283703302242,103.939124525951 460033"
143945,Bedok,3 Room,New Generation,67.0,Bedok South Avenue 3,379000.0,4,53.833333333333336,1978,07 To 09,69,3.0,8.0,2023-04-01,2023,Bedok Sth Ave 3,East,"1.31935026360524,103.943632360195 460069"
