_id,resale_price,year,month,timeseries_month,region,town,rooms,avg_storey,floor_area_sqm,remaining_lease,dist_to_marina_bay,latitude,longitude,nearest_station_0,dist_to_station0
152352,358000.0,2023,5,2023-05-01,East,Bedok,3.0,11.0,70.0,53.75,10.3,1.32791477933184,103.942144427101,Tanah Merah MRT,0.47
152353,360000.0,2023,5,2023-05-01,East,Bedok,3.0,11.0,67.0,53.25,9.99,1.33231740745783,103.936301267285,Bedok Reservoir MRT,0.66
152354,384000.0,2023,5,2023-05-01,East,Bedok,3.0,8.0,67.0,54.75,9.14,1.32936960154503,103.929067536324,Bedok Reservoir MRT,0.87
152355,405000.0,2023,5,2023-05-01,East,Bedok,3.0,8.0,82.0,54.083333333333336,10.07,1.32925881944574,103.939046430321,Tanah Merah MRT,0.84
152356,345000.0,2023,5,2023-05-01,East,Bedok,3.0,11.0,59.0,53.75,10.31,1.3282966654865,103.942067527916,Tanah Merah MRT,0.49
152357,365000.0,2023,5,2023-05-01,East,Bedok,3.0,5.0,60.0,62.0,10.33,1.32869611162886,103.941995599533,Tanah Merah MRT,0.51
152358,420000.0,2023,5,2023-05-01,East,Bedok,3.0,5.0,67.0,55.25,8.81,1.32565628436985,103.927990975389,Bedok Reservoir MRT,1.3
152359,338000.0,2023,5,2023-05-01,East,Bedok,3.0,5.0,59.0,54.0,9.6,1.33188000305479,103.932389359044,Bedok Reservoir MRT,0.52
152360,408888.0,2023,5,2023-05-01,East,Bedok,3.0,11.0,68.0,55.333333333333336,9.38,1.33490287587397,103.927838167286,Bedok Reservoir MRT,0.52
152361,375000.0,2023,5,2023-05-01,East,Bedok,3.0,11.0,68.0,55.333333333333336,9.22,1.33426946144275,103.926542284602,Bedok Reservoir MRT,0.68
152362,378000.0,2023,5,2023-05-01,East,Bedok,3.0,2.0,82.0,55.25,9.45,1.33421551577023,103.92912981678,Bedok Reservoir MRT,0.44
152363,335000.0,2023,5,2023-05-01,East,Bedok,3.0,14.0,60.0,61.75,8.99,1.33303698213001,103.924812248346,Bedok North MRT,0.78
152364,380000.0,2023,5,2023-05-01,East,Bedok,3.0,11.0,68.0,55.666666666666664,8.88,1.3335411894605,103.923190774432,Bedok North MRT,0.6
152365,367000.0,2023,5,2023-05-01,East,Bedok,3.0,2.0,68.0,55.333333333333336,9.22,1.33426946144275,103.926542284602,Bedok Reservoir MRT,0.68
152366,320000.0,2023,5,2023-05-01,East,Bedok,3.0,5.0,59.0,54.0,9.6,1.33188000305479,103.932389359044,Bedok Reservoir MRT,0.52
152367,353000.0,2023,5,2023-05-01,East,Bedok,3.0,8.0,68.0,55.75,8.97,1.33358016248275,103.92421866691,Bedok North MRT,0.71
152368,335000.0,2023,5,2023-05-01,East,Bedok,3.0,5.0,60.0,61.833333333333336,8.85,1.33270278688381,103.923456730636,Bedok North MRT,0.65
152369,310888.0,2023,5,2023-05-01,East,Bedok,3.0,5.0,59.0,53.916666666666664,9.45,1.331245062192,103.931244293846,Bedok Reservoir MRT,0.6
152370,355000.0,2023,5,2023-05-01,East,Bedok,3.0,14.0,67.0,55.25,9.5,1.33460113941761,103.929445271638,Bedok Reservoir MRT,0.38
152371,352000.0,2023,5,2023-05-01,East,Bedok,3.0,5.0,67.0,54.0,10.23,1.33178245077456,103.939208398976,Tanah Merah MRT,0.94
152372,370000.0,2023,5,2023-05-01,East,Bedok,3.0,2.0,68.0,57.25,9.01,1.33631180600308,103.922392167199,Bedok North MRT,0.52
152373,408000.0,2023,5,2023-05-01,East,Bedok,3.0,8.0,60.0,61.916666666666664,8.32,1.33302040888706,103.917037781105,Bedok North MRT,0.22
152374,375000.0,2023,5,2023-05-01,East,Bedok,3.0,11.0,63.0,64.41666666666667,8.07,1.33557619454702,103.911545779692,Kaki Bukit MRT,0.31
152375,408000.0,2023,5,2023-05-01,East,Bedok,3.0,11.0,67.0,61.333333333333336,7.48,1.33023193004172,103.909386972458,Kaki Bukit MRT,0.54
152376,385000.0,2023,5,2023-05-01,East,Bedok,3.0,8.0,70.0,61.083333333333336,7.37,1.32877022232019,103.909381354431,Kaki Bukit MRT,0.7
152377,365000.0,2023,5,2023-05-01,East,Bedok,3.0,2.0,64.0,62.666666666666664,8.12,1.33498400074179,103.912760136664,Kaki Bukit MRT,0.44
