_id,resale_price,year,month,year_month,region,town,rooms,avg_storey,floor_area_sqm,remaining_lease,address,dist_to_marina_bay,latitude,longitude,postal_code,nearest_station_0,dist_to_station_0
169231,516300.0,2024,1,2024-01,North-East,Ang Mo Kio,4.0,8.0,91.0,55.583333333333336,"636, Ang Mo Kio Avenue 6",10.98,1.38115265431721,103.843310287802,560636,Yio Chu Kang MRT,0.19
169232,520000.0,2024,1,2024-01,North-East,Ang Mo Kio,4.0,5.0,100.0,55.75,"620, Ang Mo Kio Avenue 9",11.2,1.38244082944044,103.839546376827,560620,Yio Chu Kang MRT,0.61
169233,957000.0,2024,1,2024-01,North-East,Ang Mo Kio,4.0,14.0,93.0,93.5,"260B, Ang Mo Kio Street 21",9.91,1.36886409962902,103.83395420063,562260,Mayflower MRT,0.41
169234,732000.0,2024,1,2024-01,North-East,Ang Mo Kio,4.0,8.0,90.0,81.33333333333333,"315A, Ang Mo Kio Street 31",9.07,1.36421831526448,103.846861474806,562315,Ang Mo Kio MRT,0.7
169235,690000.0,2024,1,2024-01,North-East,Ang Mo Kio,4.0,2.0,95.0,76.75,"351, Ang Mo Kio Street 32",9.02,1.36432366673955,103.850307632579,560351,Ang Mo Kio MRT,0.63
169236,780000.0,2024,1,2024-01,North-East,Ang Mo Kio,4.0,2.0,93.0,93.25,"455A, Ang Mo Kio Street 44",9.38,1.36817376241157,103.857520553516,561455,Ang Mo Kio MRT,0.91
169237,920000.0,2024,1,2024-01,North-East,Ang Mo Kio,4.0,14.0,93.0,93.25,"455A, Ang Mo Kio Street 44",9.38,1.36817376241157,103.857520553516,561455,Ang Mo Kio MRT,0.91
169238,950800.0,2024,1,2024-01,North-East,Ang Mo Kio,4.0,23.0,93.0,93.25,"455C, Ang Mo Kio Street 44",9.42,1.36856484754808,103.857943144204,563455,Ang Mo Kio MRT,0.95
169239,968000.0,2024,1,2024-01,North-East,Ang Mo Kio,4.0,8.0,93.0,94.16666666666667,"590B, Ang Mo Kio Street 51",9.74,1.37118642598512,103.852980282648,562590,Ang Mo Kio MRT,0.41
169240,645000.0,2024,1,2024-01,North-East,Ang Mo Kio,5.0,5.0,120.0,55.083333333333336,"460, Ang Mo Kio Avenue 10",9.17,1.36633947709831,103.859122319513,560460,Ang Mo Kio MRT,1.14
